90_1_space_or_building_category,90_1_building_type,90_1_space_type_description,prototype_lighting_space_type,total_horizontal_illuminance_lumens_per_ft2,room_surface_dirt_depreciation,current_room_cavity_ratio,general_lighting_fraction,general_lighting_coefficient_of_utilization,task_lighting_fraction,task_lighting_coefficient_of_utilization,supplemental_lighting_fraction,supplemental_lighting_coefficient_of_utilization,wall_wash_lighting_fraction,wall_wash_lighting_coefficient_of_utilization,notes,source
Sports Arena,Sports Arena,Ring Sports Area,sports_arena_ring_sports,110,0.96,2,1,0.82,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 1 -Court Sports Area,sports_arena_class1,165,0.96,2,1,0.71,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 2 - Court Sports Area,sports arena_class2,110,0.96,2,1,0.68,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 3 - Court Sports Area,sports arena_class3,82.5,0.96,2,1,0.79,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 4 - Court Sports Area,sports arena_class4,55,0.96,2,1,0.79,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 1 - Natatorium,sports arena_natatorium_class1,93.75,0.96,2,1,0.47,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 2 - Natatorium,sports arena_natatorium_class2,62.5,0.96,2,1,0.47,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 3 - Natatorium,sports arena_natatorium_class3,55,0.96,2,1,0.68,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Sports Arena,Sports Arena,Class 4 - Natatorium,sports arena_natatorium_class4,33,0.96,2,1,0.68,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Transportation Facility,Transportation,Airport Hanger,transportation_facility_airport_hanger,55,0.96,7,1,0.47,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Transportation Facility,Transportation,Air/Train/Bus - Baggage Area,transportation facility_baggage_area,22,0.96,2,0.45,0.92,0.3,0.76,0,0,0.25,0.87,,pnnl_90_1_lighting_subcommittee_model
Transportation Facility,Transportation,Airport - Concourse,transportation facility_airport_concourse,33,0.96,2,0.5,0.92,0.3,0.79,0,0,0.2,0.75,,pnnl_90_1_lighting_subcommittee_model
Transportation Facility,Transportation,Passenger Loading,transportation_facility_passenger_loading,27.5,0.96,4,0.35,0.77,0.65,0.46,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Transportation Facility,Transportation,Terminal - Ticket counter,transportation facility_ticket_counter,27.5,0.96,2,0.4,0.79,0.4,0.92,0,0,0.2,0.83,,pnnl_90_1_lighting_subcommittee_model
Transportation Facility,Transportation,Reception/Waiting,transportation_facility_reception,22,0.96,2,0.545454545,0.59,0,0,0,0,0.454545455,0.83,,pnnl_90_1_lighting_subcommittee_model
Warehouse - Storage Area,Warehouse,Fine Material,warehouse_fine_material,33,0.96,4,1,0.59,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Warehouse - Storage Area,Warehouse,Medium/Bulky Material,warehouse_bulk_material,22,0.96,2,1,0.81,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
