BldgType,VintYear,BldgLoc,tstat,TStatHtgMrn,TStatHtgDay,TStatHtgEve,TStatHtgNit,TStatClgMrn,TStatClgDay,TStatClgEve,TStatClgNit
MFm,1996,CZ08,1,72,69,69,72,85,82,82,85
MFm,1996,CZ09,1,75,69,69,75,80,80,80,80
MFm,1996,CZ10,1,74,69,69,74,80,86,86,80
MFm,1996,CZ11,1,66,66,66,66,80,84,84,80
MFm,1996,CZ12,1,70,70,70,70,76,83,83,76
MFm,1996,CZ13,1,68,68,68,68,76,83,83,76
MFm,1996,CZ14,1,72,72,72,72,74,74,74,74
MFm,1996,CZ15,1,72,69,69,72,79,86,86,79
MFm,1996,CZ16,1,70,67,67,70,74,74,74,74
MFm,1996,CZ01,2,71,71,71,71,83,80,80,83
MFm,1996,CZ02,2,68,65,65,68,80,83,83,80
MFm,1996,CZ03,2,73,73,73,73,80,83,83,80
MFm,1996,CZ04,2,70,67,67,70,80,83,83,80
MFm,1996,CZ05,2,70,70,70,70,80,83,83,80
MFm,1996,CZ06,2,72,72,72,72,80,84,84,80
MFm,1996,CZ07,2,73,73,73,73,76,83,83,76
MFm,1996,CZ08,2,74,69,69,74,82,82,82,82
MFm,1996,CZ09,2,75,72,72,75,85,82,82,85
MFm,1996,CZ10,2,75,72,72,75,80,85,85,80
MFm,1996,CZ11,2,63,63,63,63,76,88,88,76
MFm,1996,CZ12,2,72,72,72,72,80,83,83,80
MFm,1996,CZ13,2,70,65,65,70,80,83,83,80
MFm,1996,CZ14,2,70,70,70,70,83,76,76,83
MFm,1996,CZ15,2,72,72,72,72,83,85,85,83
MFm,1996,CZ16,2,70,70,70,70,83,76,76,83
MFm,1996,CZ01,3,73,73,73,73,80,80,80,80
MFm,1996,CZ02,3,70,70,70,70,83,83,83,83
MFm,1996,CZ03,3,75,75,75,75,83,83,83,83
MFm,1996,CZ04,3,70,70,70,70,83,83,83,83
MFm,1996,CZ05,3,72,67,67,72,83,83,83,83
MFm,1996,CZ06,3,74,69,69,74,76,83,83,76
MFm,1996,CZ07,3,75,75,75,75,80,83,83,80
MFm,1996,CZ08,3,74,74,74,74,78,85,85,78
MFm,1996,CZ09,3,75,75,75,75,82,82,82,82
MFm,1996,CZ10,3,74,69,69,74,83,85,85,83
MFm,1996,CZ11,3,63,66,66,63,80,87,87,80
MFm,1996,CZ12,3,72,67,67,72,83,83,83,83
MFm,1996,CZ13,3,72,72,72,72,83,83,83,83
MFm,1996,CZ14,3,72,67,67,72,78,78,78,78
MFm,1996,CZ15,3,74,69,69,74,86,86,86,86
MFm,1996,CZ16,3,72,72,72,72,78,78,78,78
MFm,1996,CZ01,4,69,69,69,69,76,83,83,76
MFm,1996,CZ02,4,68,68,68,68,85,85,85,85
MFm,1996,CZ03,4,73,68,68,73,85,85,85,85
MFm,1996,CZ04,4,72,72,72,72,85,85,85,85
MFm,1996,CZ05,4,74,74,74,74,85,85,85,85
MFm,1996,CZ06,4,74,74,74,74,82,85,85,82
MFm,1996,CZ07,4,71,71,71,71,83,83,83,83
MFm,1996,CZ08,4,72,72,72,72,82,87,87,82
MFm,1996,CZ09,4,74,69,69,74,78,85,85,78
MFm,1996,CZ10,4,74,74,74,74,85,87,87,85
MFm,1996,CZ11,4,63,68,68,63,83,88,88,83
MFm,1996,CZ12,4,74,74,74,74,85,85,85,85
MFm,1996,CZ13,4,70,70,70,70,85,85,85,85
MFm,1996,CZ14,4,68,65,65,68,83,80,80,83
MFm,1996,CZ15,4,74,74,74,74,88,90,80,88
MFm,1996,CZ16,4,74,74,74,74,83,80,80,83
MFm,1996,CZ01,5,71,66,66,71,80,83,83,80
MFm,1996,CZ02,5,70,65,65,70,90,90,90,90
MFm,1996,CZ03,5,71,71,71,71,90,90,90,90
MFm,1996,CZ04,5,72,67,67,72,90,90,90,90
MFm,1996,CZ05,5,72,72,72,72,90,90,90,90
MFm,1996,CZ06,5,76,76,76,76,83,83,83,83
MFm,1996,CZ07,5,73,68,68,73,85,85,85,85
MFm,1996,CZ08,5,76,76,76,76,85,90,90,85
MFm,1996,CZ09,5,74,74,74,74,82,85,85,82
MFm,1996,CZ10,5,75,75,75,75,90,90,90,90
MFm,1996,CZ11,5,66,63,63,66,85,85,85,85
MFm,1996,CZ12,5,70,67,67,70,90,90,90,90
MFm,1996,CZ13,5,68,65,65,68,90,90,90,90
MFm,1996,CZ14,5,68,68,68,68,80,80,80,80
MFm,1996,CZ15,5,76,76,76,76,90,90,90,90
MFm,1996,CZ16,5,72,67,67,72,80,80,80,80
MFm,2003,CZ01,1,66,63,63,66,78,78,78,78
MFm,2003,CZ02,1,65,70,70,65,76,83,83,76
MFm,2003,CZ03,1,71,68,68,71,77,84,84,77
MFm,2003,CZ04,1,65,70,70,65,78,78,78,78
MFm,2003,CZ05,1,70,67,67,70,76,83,83,76
